nom;sigle;parent;responsable;adresse;email;telephone;siteWeb;pageFacebook;Latitude;Longitude
Union Sportive des Forces Armées;USFA;;;9C8V+W8Q, Goughin, Ouagadougou;usfaburkina@gmail.com;;;https://www.facebook.com/usfaburkina/?locale=fr_FR;12.373201060398497;-1.555609343219362
Terrain Omnisports de Wayalguin;;;;9GWJ+F3F, Wayalguin, Ouagadougou;;71990946;;;12.401709100303774; -1.4681063977658912
stade Etoile filante de Ouagadougou;EFO;;;9FCX+W3V, Ouagadougou;;72356076;;;12.379279237825523;-1.5043048387456717
Plateau omnisport de Samandin;;;;8FW6+RHV, rue 7.37, Samandin, Ouagadougou;;;;;12.355133609555898;-1.5393237568756117
Plateau omnisport de PISSY;;;;8CMQ+CFG, Pissy, Ouagadougou;;;;;12.339370677264997;-1.5626697022955716
Stade omnisport de Zorgho;;;;01 Avenue zan-kana, Zorgo;;;;;12.254569420373773;-0.6258407568532237
Stade Municipale De Ziniaré;;;;HPR6+VX5, Ziniaré;;72864022;;;12.600352853502635;-1.285442275039111
Ministere de la jeunesse de la formation professinnelle et de l'emploi (IMMEUBLE NOOSYANDE);;;;306 Rue Des Ecoles, Dapoya, Ouagadougou;;68819293;http://queenmafa.net.net/;;12.383953439762205; -1.5174969897899855
Direction regional de la jeunesse et de la formation professionnelle du centre;DRJFPE;;;9FJM+554, Unnamed Road, Dapoya, Ouagadougou;drjfpecentre@yahoo.fr;25493700;;Zone d'Activités Diverses, Ouagadougou;12.386300770311713;-1.5166386829730754
DGJEP;DGJEP;;;9F4J+PMR, Ave Ouezzin Coulibaly, Ouagadougou;;;;https://www.facebook.com/p/DGJEP-Officiel-100063507757372/;12.361317383637742;-1.5166386829730754
Programme d'Autonomisation économique des Jeunes et des Femmes ;PAEJF;;;;contact@paejf.bf;72 34 40 04;http://paejf.bf;https://www.facebook.com/paejf/?locale=fr_FR;12.36519858873014;-1.5337070709921838
Centre Regional De Formation Professionnelle ANPE Ouagadougou;CRFP ANPE;ANPE;;9GRM+5G2, rue 28.16, Dassasgo, Ouagadougou;;63 93 45 92;;https://www.facebook.com/anpeouaga;12.406333516770006;-1.466657304705688
Direction Régionale ANPE HAUTS Bassins;ANPE Haut Bassin;ANPE;;;;;;https://www.facebook.com/anpebobo2016?locale=fr_FR;11.286793013456037;-4.304015596235811
ANPE DE ZINIARé;ANPE ZINIARE;;;HPW4+VQF, Ziniaré;;25309497;;;12.597400128355105;-1.294122703938131
Stade du 4 Août;;;;9C9W+FHV, Goughin, Ouagadougou;;;;;12.368987923462852;-1.5536144634589586
Direction Générale du Groupement d'Intérêt Public-Programme National de Volontariat au Burkina Faso ;GIP-PNVB;;Djourmité Nestor NOUFE;8F8G+VM6, Ouaga 2000, Ouagadougou;;25407312;http://www.fasovolontariat.bf/;https://fasovolontariat.bf/;12.325389362176027;-1.521647997765831
